+-----+----------------------------+--------------------------------------------------------------------+--------+--------+-------------------------------+-------+----------+---------+--------------+-----------+-----------+-----------+
| id  | course                     | course_desc                                                        | campus | unit   | unit_desc                     | hours | semester | room    | lecturer     | room_lock | day_lock  | time_lock |
+-----+----------------------------+--------------------------------------------------------------------+--------+--------+-------------------------------+-------+----------+---------+--------------+-----------+-----------+-----------+
|   1 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|   8 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  20 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  30 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  31 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  47 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  48 | #HDCGD_SF118A+HDCGD_SF217A | HND Computer Games Development SCQF Level 8 - ALL                  | NRR    | MATHS  | HIGHER MATHS                  |     2 | ALL      | NRR     | NLR          | NRR       | Tuesday   | 09:00     |
|  49 | #HDCGD_SF118A+HDCGD_SF217A | HND Computer Games Development SCQF Level 8 - ALL                  | NRR    | MATHS  | HIGHER MATHS                  |     2 | ALL      | NRR     | NLR          | NRR       | Thursday  | 09:00     |
|  50 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  64 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  78 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
|  83 | #HDGDD_SF218A              | HND Digital Design and Development (Games) SCQF Level 8 - Yr2 Gp A | NRR    | HF5235 | Human Computer Interface      |     2 | 1        | NRR     | NLR          | 0         | 0         | 0         |
|  84 | #HDGDD_SF218A              | HND Digital Design and Development (Games) SCQF Level 8 - Yr2 Gp A | NRR    | HF5335 | Interactive Media Composition |     2 | 1        | NRR     | NLR          | 0         | 0         | 0         |
|  91 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 105 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 116 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 127 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 143 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 160 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 176 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 192 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 210 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
| 224 | 0                          | 0                                                                  | 0      | 0      | 0                             |     0 | 0        | 0       | 0            | 0         | 0         | 0         |
